Run,Slug,Run flag,Run type,Prompt Plots Exist,Prompt JAPAN Exists,Prompt Summary Exists,Prompt BCM Exists,Prompt Ratecheck Exists,Prompt Postpan ROOT Exists,Prompt Postpan Overload ROOT Exists,Prompt Postpan Summary Exists,Agg ROOT File Exists,BMOD Cycle Check Exists,BMOD Cycles Plots Exists,BMOD Sens csv Exists,BMOD AD Plots Exists,BMOD Slopes Exists
6186,129,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6187,129,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6193,129,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6194,129,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6195,129,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6196,129,Good,Calibration,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6197,129,Good,Calibration,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6198,129,Good,Calibration,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6199,129,Good,Calibration,1,1,1,1,1,1,1,1,1,1,0,0,1,0
6200,129,Good,Calibration,1,1,1,1,0,1,1,1,0,0,0,0,1,0
6201,129,NeedCut,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6202,129,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6203,129,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6204,129,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6205,130,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6206,130,NeedCut,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6207,130,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6208,130,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6209,130,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6210,130,NeedCut,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6211,130,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6212,130,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6213,130,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6214,131,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6215,131,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6216,131,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6217,131,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6218,131,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6234,131,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6235,131,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6236,131,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6237,131,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6238,131,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6239,132,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6240,132,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6241,132,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6242,132,None,Calibration,1,1,1,1,1,1,1,1,1,1,1,0,1,0
6248,132,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6249,132,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6252,132,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6255,132,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6256,132,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6257,132,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6258,132,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6259,132,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6284,133,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6285,133,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6314,133,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6315,133,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6316,133,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6317,133,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6318,133,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
